Exact expression symbols: acc1_output, acc2_output, acc3_output, acc4_output, acc5_output, acc6_output, acc1_event_in, acc2_event_in, acc3_event_in, acc4_event_in, acc5_event_in, acc6_event_in
Use only these exact names as expression operands; do not prefix them with component, implementation, package, property, or metadata names.

name | direction | kind | scalar | aadl_type
acc1_output | out | data | int | SHM_DataType::accData
acc2_output | out | data | int | SHM_DataType::accData
acc3_output | out | data | int | SHM_DataType::accData
acc4_output | out | data | int | SHM_DataType::accData
acc5_output | out | data | int | SHM_DataType::accData
acc6_output | out | data | int | SHM_DataType::accData
acc1_event_in | in | data | int | SHM_DataType::actionData
acc2_event_in | in | data | int | SHM_DataType::actionData
acc3_event_in | in | data | int | SHM_DataType::actionData
acc4_event_in | in | data | int | SHM_DataType::actionData
acc5_event_in | in | data | int | SHM_DataType::actionData
acc6_event_in | in | data | int | SHM_DataType::actionData
