Exact expression symbols: accData_in1, accData_in2, accData_in3, accData_in4, accData_in5, accData_in6, accData_out1, accData_out2, accData_out3, accData_out4, accData_out5, accData_out6, adirup_error_action, adirup_error_out
Use only these exact names as expression operands; do not prefix them with component, implementation, package, property, or metadata names.

name | direction | kind | scalar | aadl_type
accData_in1 | in | data | int | SHM_DataType::accData
accData_in2 | in | data | int | SHM_DataType::accData
accData_in3 | in | data | int | SHM_DataType::accData
accData_in4 | in | data | int | SHM_DataType::accData
accData_in5 | in | data | int | SHM_DataType::accData
accData_in6 | in | data | int | SHM_DataType::accData
accData_out1 | out | data | int | SHM_DataType::accData
accData_out2 | out | data | int | SHM_DataType::accData
accData_out3 | out | data | int | SHM_DataType::accData
accData_out4 | out | data | int | SHM_DataType::accData
accData_out5 | out | data | int | SHM_DataType::accData
accData_out6 | out | data | int | SHM_DataType::accData
adirup_error_action | in | data | int | SHM_DataType::actionData
adirup_error_out | out | data | int | SHM_DataType::errorData
