Exact expression symbols: gcas_timeToFailure, tcas_timeToFailure, geof_timeToFailure, timeToFailure, gcas_timeToRecovery, tcas_timeToRecovery, geof_timeToRecovery, timeToRecovery, p1, p2, p3
Use only these exact names as expression operands; do not prefix them with component, implementation, package, property, or metadata names.

name | direction | kind | scalar | aadl_type
gcas_timeToFailure | in | data | opaque | real
tcas_timeToFailure | in | data | opaque | real
geof_timeToFailure | in | data | opaque | real
timeToFailure | out | data | opaque | real
gcas_timeToRecovery | in | data | opaque | real
tcas_timeToRecovery | in | data | opaque | real
geof_timeToRecovery | in | data | opaque | real
timeToRecovery | out | data | opaque | real
p1 | out | data | opaque | bool
p2 | out | data | opaque | bool
p3 | out | data | opaque | bool
