Exact expression symbols: Forcing_Safe_Mode, Getting_Back_To_Normal_Mode, sensored_attitude, sun_direction, reference_torque, reference_force, telecommand, power_status_FSS, power_status_CSS, power_status_SPS, power_status_ES, power_status_MGM, power_status_GYR, power_status_STR, power_status_GPS, power_status_THU, power_status_RW, power_status_MGT, Force_mode_to_SM, Force_mode_to_NM, telemetry, watchdog_event, anomaly_detected, Changing_mode_to_SM, Changing_mode_to_NM, FSS_reconfiguration, CSS_reconfiguration, SPS_reconfiguration, ES_reconfiguration, MGM_reconfiguration, GYR_reconfiguration, STR_reconfiguration, GPS_reconfiguration, THU_reconfiguration, RW_reconfiguration, MGT_reconfiguration, torque_command, force_command
Use only these exact names as expression operands; do not prefix them with component, implementation, package, property, or metadata names.

name | direction | kind | scalar | aadl_type
Forcing_Safe_Mode | in | event | event | 
Getting_Back_To_Normal_Mode | in | event | event | 
sensored_attitude | in | data | real | dataaocs::GYR_data
sun_direction | in | data | real | dataaocs::FSS_data
reference_torque | out | data | real | dataaocs::RW_data
reference_force | out | data | real | dataaocs::THU_data
telecommand | in | data | real | dataaocs::telecommand
power_status_FSS | out | data | bool | dataaocs::power_status
power_status_CSS | out | data | bool | dataaocs::power_status
power_status_SPS | out | data | bool | dataaocs::power_status
power_status_ES | out | data | bool | dataaocs::power_status
power_status_MGM | out | data | bool | dataaocs::power_status
power_status_GYR | out | data | bool | dataaocs::power_status
power_status_STR | out | data | bool | dataaocs::power_status
power_status_GPS | out | data | bool | dataaocs::power_status
power_status_THU | out | data | bool | dataaocs::power_status
power_status_RW | out | data | bool | dataaocs::power_status
power_status_MGT | out | data | bool | dataaocs::power_status
Force_mode_to_SM | out | event | event | 
Force_mode_to_NM | out | event | event | 
telemetry | out | data | real | dataaocs::telemetry
watchdog_event | out | event | event | 
anomaly_detected | in | event | event | 
Changing_mode_to_SM | out | event | event | 
Changing_mode_to_NM | out | event | event | 
FSS_reconfiguration | out | data | bool | dataaocs::reconfigure_sensor
CSS_reconfiguration | out | data | bool | dataaocs::reconfigure_sensor
SPS_reconfiguration | out | data | bool | dataaocs::reconfigure_sensor
ES_reconfiguration | out | data | bool | dataaocs::reconfigure_sensor
MGM_reconfiguration | out | data | bool | dataaocs::reconfigure_sensor
GYR_reconfiguration | out | data | bool | dataaocs::reconfigure_sensor
STR_reconfiguration | out | data | bool | dataaocs::reconfigure_sensor
GPS_reconfiguration | out | data | bool | dataaocs::reconfigure_sensor
THU_reconfiguration | out | data | bool | dataaocs::reconfigure_actuator
RW_reconfiguration | out | data | bool | dataaocs::reconfigure_actuator
MGT_reconfiguration | out | data | bool | dataaocs::reconfigure_actuator
torque_command | out | data | real | dataaocs::RW_data
force_command | out | data | real | dataaocs::THU_data
