Exact expression symbols: inpGCASM, inpGCASImpact, inpGCASRecovery, inpSAM, inpACASM, inpACASImpact, inpACASRecovery, inpGFM, inpWxM, inpFLS, outDec
Use only these exact names as expression operands; do not prefix them with component, implementation, package, property, or metadata names.

name | direction | kind | scalar | aadl_type
inpGCASM | in | data | bool | Base_Types::boolean
inpGCASImpact | in | data | real | Base_Types::float
inpGCASRecovery | in | data | real | Base_Types::float
inpSAM | in | data | bool | Base_Types::boolean
inpACASM | in | data | bool | Base_Types::boolean
inpACASImpact | in | data | real | Base_Types::float
inpACASRecovery | in | data | real | Base_Types::float
inpGFM | in | data | bool | Base_Types::boolean
inpWxM | in | data | bool | Base_Types::boolean
inpFLS | in | data | bool | Base_Types::boolean
outDec | out | data | int | Base_Types::integer
