Exact expression symbols: clear, start, kp_0, kp_1, kp_2, kp_3, kp_4, kp_5, kp_6, kp_7, kp_8, kp_9, door_closed, heating_element_on, left_digit, middle_digit, right_digit
Use only these exact names as expression operands; do not prefix them with component, implementation, package, property, or metadata names.

name | direction | kind | scalar | aadl_type
clear | in | data | bool | Base_Types::Boolean
start | in | data | bool | Base_Types::Boolean
kp_0 | in | data | bool | Base_Types::Boolean
kp_1 | in | data | bool | Base_Types::Boolean
kp_2 | in | data | bool | Base_Types::Boolean
kp_3 | in | data | bool | Base_Types::Boolean
kp_4 | in | data | bool | Base_Types::Boolean
kp_5 | in | data | bool | Base_Types::Boolean
kp_6 | in | data | bool | Base_Types::Boolean
kp_7 | in | data | bool | Base_Types::Boolean
kp_8 | in | data | bool | Base_Types::Boolean
kp_9 | in | data | bool | Base_Types::Boolean
door_closed | in | data | bool | Base_Types::Boolean
heating_element_on | out | data | bool | Base_Types::Boolean
left_digit | out | data | int | Base_Types::Integer
middle_digit | out | data | int | Base_Types::Integer
right_digit | out | data | int | Base_Types::Integer
