annex agree {**
  assign attitude_sub.acc_in_data_x = acc_in_data_x;
  assign attitude_sub.acc_in_data_y = acc_in_data_y;
  assign attitude_sub.acc_in_data_z = acc_in_data_z;
  assign attitude_sub.mag_in_data_x = mag_in_data_x;
  assign attitude_sub.mag_in_data_y = mag_in_data_y;
  assign attitude_sub.mag_in_data_z = mag_in_data_z;
  assign attitude_sub.gyro_in_data_x = gyro_in_data_x;
  assign attitude_sub.gyro_in_data_y = gyro_in_data_y;
  assign attitude_sub.gyro_in_data_z = gyro_in_data_z;
**};
