Exact expression symbols: telecommand, nominal_attitude, nominal_orbit, power_status_FSS, power_status_CSS, power_status_SPS, power_status_ES, power_status_MGM, power_status_GYR, power_status_STR, power_status_GPS, power_status_TRU, power_status_RW, power_status_MGT, manoeuvre_command, attitude_window, check_thresholds, Force_mode_to_NM, Force_mode_to_SM
Use only these exact names as expression operands; do not prefix them with component, implementation, package, property, or metadata names.

name | direction | kind | scalar | aadl_type
telecommand | in | data | real | dataaocs::telecommand
nominal_attitude | out | data | real | dataaocs::attitude
nominal_orbit | out | data | real | dataaocs::orbit
power_status_FSS | out | data | bool | dataaocs::power_status
power_status_CSS | out | data | bool | dataaocs::power_status
power_status_SPS | out | data | bool | dataaocs::power_status
power_status_ES | out | data | bool | dataaocs::power_status
power_status_MGM | out | data | bool | dataaocs::power_status
power_status_GYR | out | data | bool | dataaocs::power_status
power_status_STR | out | data | bool | dataaocs::power_status
power_status_GPS | out | data | bool | dataaocs::power_status
power_status_TRU | out | data | bool | dataaocs::power_status
power_status_RW | out | data | bool | dataaocs::power_status
power_status_MGT | out | data | bool | dataaocs::power_status
manoeuvre_command | out | data | opaque | dataaocs::manoeuvre_command
attitude_window | out | data | real | dataaocs::attitude_window
check_thresholds | out | data | opaque | dataaocs::check_thresholds
Force_mode_to_NM | out | event | event | 
Force_mode_to_SM | out | event | event | 
