Exact expression symbols: Radio_Cdes_Input, RC_Evt_Input, AP_Cdes_Input, AP_Cdes_Input.channels, AP_Cdes_Input.ppm_cpt, AP_Cdes_Input.satus, AP_Cdes_Input.nb_err, AP_Cdes_Input.vsupply, Cdes_Vol_Output, Cdes_Vol_Output.channels, Cdes_Vol_Output.ppm_cpt, Cdes_Vol_Output.satus, Cdes_Vol_Output.nb_err, Cdes_Vol_Output.vsupply, Cde_Elevator_Output, Cde_MotorL_Output, Cde_MotorR_Output, Cde_AileronL_Output, Cde_AileronR_Output, Cde_Rudder_Output
Use only these exact names as expression operands; do not prefix them with component, implementation, package, property, or metadata names.

name | direction | kind | scalar | aadl_type
Radio_Cdes_Input | in | data | opaque | Papa_Types::Unknown
RC_Evt_Input | in | event | event | 
AP_Cdes_Input | in | data | opaque | Papa_Types::Inter_mcu_msg.Generic
AP_Cdes_Input.channels | in | data_field | opaque | Tableau.Generic
AP_Cdes_Input.ppm_cpt | in | data_field | opaque | Base_Types::Integer_8
AP_Cdes_Input.satus | in | data_field | opaque | Base_Types::Integer_8
AP_Cdes_Input.nb_err | in | data_field | opaque | Base_Types::Integer_8
AP_Cdes_Input.vsupply | in | data_field | opaque | Base_Types::Integer_8
Cdes_Vol_Output | out | data | opaque | Papa_Types::Inter_mcu_msg.Generic
Cdes_Vol_Output.channels | out | data_field | opaque | Tableau.Generic
Cdes_Vol_Output.ppm_cpt | out | data_field | opaque | Base_Types::Integer_8
Cdes_Vol_Output.satus | out | data_field | opaque | Base_Types::Integer_8
Cdes_Vol_Output.nb_err | out | data_field | opaque | Base_Types::Integer_8
Cdes_Vol_Output.vsupply | out | data_field | opaque | Base_Types::Integer_8
Cde_Elevator_Output | out | data | opaque | Base_Types::Integer_16
Cde_MotorL_Output | out | data | opaque | Base_Types::Integer_16
Cde_MotorR_Output | out | data | opaque | Base_Types::Integer_16
Cde_AileronL_Output | out | data | opaque | Base_Types::Integer_16
Cde_AileronR_Output | out | data | opaque | Base_Types::Integer_16
Cde_Rudder_Output | out | data | opaque | Base_Types::Integer_16
