Exact expression symbols: Data_Elev_Input, Data_AilL_Input, Data_AilR_Input, Data_MotorL_Input, Data_MotorR_Input, Data_Rudder_Input, Data_Elev_Output, Data_AilL_Output, Data_AilR_Output, Data_MotorL_Output, Data_MotorR_Output, Data_Rudder_Output, Dev_Bus
Use only these exact names as expression operands; do not prefix them with component, implementation, package, property, or metadata names.

name | direction | kind | scalar | aadl_type
Data_Elev_Input | in | data | opaque | Base_Types::Integer_16
Data_AilL_Input | in | data | opaque | Base_Types::Integer_16
Data_AilR_Input | in | data | opaque | Base_Types::Integer_16
Data_MotorL_Input | in | data | opaque | Base_Types::Integer_16
Data_MotorR_Input | in | data | opaque | Base_Types::Integer_16
Data_Rudder_Input | in | data | opaque | Base_Types::Integer_16
Data_Elev_Output | out | data | opaque | Base_Types::Integer_16
Data_AilL_Output | out | data | opaque | Base_Types::Integer_16
Data_AilR_Output | out | data | opaque | Base_Types::Integer_16
Data_MotorL_Output | out | data | opaque | Base_Types::Integer_16
Data_MotorR_Output | out | data | opaque | Base_Types::Integer_16
Data_Rudder_Output | out | data | opaque | Base_Types::Integer_16
Dev_Bus | requires | access | opaque | 
