Exact expression symbols: acc1_data_monitor, acc2_data_monitor, acc3_data_monitor, acc4_data_monitor, acc5_data_monitor, acc6_data_monitor, acc1_validated_dataout, acc2_validated_dataout, acc3_validated_dataout, acc4_validated_dataout, acc5_validated_dataout, acc6_validated_dataout, acc_error_action, acc_error_out, event_to_acc1, event_to_acc2, event_to_acc3, event_to_acc4, event_to_acc5, event_to_acc6
Use only these exact names as expression operands; do not prefix them with component, implementation, package, property, or metadata names.

name | direction | kind | scalar | aadl_type
acc1_data_monitor | in | data | int | SHM_DataType::accData
acc2_data_monitor | in | data | int | SHM_DataType::accData
acc3_data_monitor | in | data | int | SHM_DataType::accData
acc4_data_monitor | in | data | int | SHM_DataType::accData
acc5_data_monitor | in | data | int | SHM_DataType::accData
acc6_data_monitor | in | data | int | SHM_DataType::accData
acc1_validated_dataout | out | data | int | SHM_DataType::accData
acc2_validated_dataout | out | data | int | SHM_DataType::accData
acc3_validated_dataout | out | data | int | SHM_DataType::accData
acc4_validated_dataout | out | data | int | SHM_DataType::accData
acc5_validated_dataout | out | data | int | SHM_DataType::accData
acc6_validated_dataout | out | data | int | SHM_DataType::accData
acc_error_action | in | data | int | SHM_DataType::actionData
acc_error_out | out | data | int | SHM_DataType::errorData
event_to_acc1 | out | data | int | SHM_DataType::actionData
event_to_acc2 | out | data | int | SHM_DataType::actionData
event_to_acc3 | out | data | int | SHM_DataType::actionData
event_to_acc4 | out | data | int | SHM_DataType::actionData
event_to_acc5 | out | data | int | SHM_DataType::actionData
event_to_acc6 | out | data | int | SHM_DataType::actionData
