Exact expression symbols: handle_position, closed, latched, locked, swivel, de_arrest, lock, warn_diff_pres, warn_slide, in_flight, on_ground, engine_running, emergency_evacuation, dps, door_locked, warning_info, ecam_info
Use only these exact names as expression operands; do not prefix them with component, implementation, package, property, or metadata names.

name | direction | kind | scalar | aadl_type
handle_position | in | data | bool | Base_Types::boolean
closed | in | data | bool | Base_Types::boolean
latched | in | data | bool | Base_Types::boolean
locked | in | data | bool | Base_Types::boolean
swivel | out | data | bool | Base_Types::boolean
de_arrest | out | data | bool | Base_Types::boolean
lock | out | data | bool | Base_Types::boolean
warn_diff_pres | out | data | bool | Base_Types::boolean
warn_slide | out | data | bool | Base_Types::boolean
in_flight | in | data | bool | Base_Types::boolean
on_ground | in | data | bool | Base_Types::boolean
engine_running | in | data | bool | Base_Types::boolean
emergency_evacuation | in | data | bool | Base_Types::boolean
dps | in | data | int | Base_Types::integer
door_locked | out | data | bool | Base_Types::boolean
warning_info | out | data | bool | Base_Types::boolean
ecam_info | out | data | bool | Base_Types::boolean
