Exact expression symbols: D1_handle_position, D1_closed, D1_latched, D1_locked, D1_swivel, D1_de_arrest, D1_lock, D1_warn_diff_pres, D1_warn_slide, D1_in_flight, D1_on_ground, D1_engine_running, D1_emergency_evacuation, D1_dps, D1_warning_info, D1_ecam_info, D2_handle_position, D2_closed, D2_latched, D2_locked, D2_swivel, D2_de_arrest, D2_lock, D2_warn_diff_pres, D2_warn_slide, D2_in_flight, D2_on_ground, D2_engine_running, D2_emergency_evacuation, D2_warning_info, D2_ecam_info, D2_dps, Mix_cll
Use only these exact names as expression operands; do not prefix them with component, implementation, package, property, or metadata names.

name | direction | kind | scalar | aadl_type
D1_handle_position | in | data | bool | Base_Types::boolean
D1_closed | in | data | bool | Base_Types::boolean
D1_latched | in | data | bool | Base_Types::boolean
D1_locked | in | data | bool | Base_Types::boolean
D1_swivel | out | data | bool | Base_Types::boolean
D1_de_arrest | out | data | bool | Base_Types::boolean
D1_lock | out | data | bool | Base_Types::boolean
D1_warn_diff_pres | out | data | bool | Base_Types::boolean
D1_warn_slide | out | data | bool | Base_Types::boolean
D1_in_flight | in | data | bool | Base_Types::boolean
D1_on_ground | in | data | bool | Base_Types::boolean
D1_engine_running | in | data | bool | Base_Types::boolean
D1_emergency_evacuation | in | data | bool | Base_Types::boolean
D1_dps | in | data | int | Base_Types::integer
D1_warning_info | out | data | bool | Base_Types::boolean
D1_ecam_info | out | data | bool | Base_Types::boolean
D2_handle_position | in | data | bool | Base_Types::boolean
D2_closed | in | data | bool | Base_Types::boolean
D2_latched | in | data | bool | Base_Types::boolean
D2_locked | in | data | bool | Base_Types::boolean
D2_swivel | out | data | bool | Base_Types::boolean
D2_de_arrest | out | data | bool | Base_Types::boolean
D2_lock | out | data | bool | Base_Types::boolean
D2_warn_diff_pres | out | data | bool | Base_Types::boolean
D2_warn_slide | out | data | bool | Base_Types::boolean
D2_in_flight | in | data | bool | Base_Types::boolean
D2_on_ground | in | data | bool | Base_Types::boolean
D2_engine_running | in | data | bool | Base_Types::boolean
D2_emergency_evacuation | in | data | bool | Base_Types::boolean
D2_warning_info | out | data | bool | Base_Types::boolean
D2_ecam_info | out | data | bool | Base_Types::boolean
D2_dps | in | data | int | Base_Types::integer
Mix_cll | out | data | bool | Base_Types::boolean
