annex agree {**
  assume "engine_running_condition": D1_engine_running = true;
  guarantee "door1_swivel_operation": D1_swivel => D1_engine_running;
  guarantee "door1_de_arrest_operation": D1_de_arrest => D1_engine_running;
  guarantee "door1_lock_operation": D1_lock => D1_engine_running;
  guarantee "door1_warn_diff_pres_operation": D1_warn_diff_pres => D1_engine_running;
  guarantee "door1_warn_slide_operation": D1_warn_slide => D1_engine_running;
  guarantee "door1_warning_info_operation": D1_warning_info => D1_engine_running;
  guarantee "door1_ecam_info_operation": D1_ecam_info => D1_engine_running;
  guarantee "door2_swivel_operation": D2_swivel => D1_engine_running;
  guarantee "door2_de_arrest_operation": D2_de_arrest => D1_engine_running;
  guarantee "door2_lock_operation": D2_lock => D1_engine_running;
  guarantee "door2_warn_diff_pres_operation": D2_warn_diff_pres => D1_engine_running;
  guarantee "door2_warn_slide_operation": D2_warn_slide => D1_engine_running;
  guarantee "door2_warning_info_operation": D2_warning_info => D1_engine_running;
  guarantee "door2_ecam_info_operation": D2_ecam_info => D1_engine_running;
**};
