Exact expression symbols: MCU1_Data_Input, MCU1_Data_Input.data_0, MCU1_Data_Input.data_1, MCU1_Data_Input.data_2, MCU1_Data_Input.data_3, MCU1_Data_Input.data_4, MCU1_Data_Input.data_5, MCU1_Data_Input.data_6, MCU1_Data_Input.data_7, MCU1_Send_Output, MCU1_Send_Output.channels, MCU1_Send_Output.ppm_cpt, MCU1_Send_Output.satus, MCU1_Send_Output.nb_err, MCU1_Send_Output.vsupply, Radio_Ok_Input, Radio_Really_Lost_Input
Use only these exact names as expression operands; do not prefix them with component, implementation, package, property, or metadata names.

name | direction | kind | scalar | aadl_type
MCU1_Data_Input | in | data | opaque | Papa_Types::Tableau.Generic
MCU1_Data_Input.data_0 | in | data_field | opaque | Base_Types::Integer_16
MCU1_Data_Input.data_1 | in | data_field | opaque | Base_Types::Integer_16
MCU1_Data_Input.data_2 | in | data_field | opaque | Base_Types::Integer_16
MCU1_Data_Input.data_3 | in | data_field | opaque | Base_Types::Integer_16
MCU1_Data_Input.data_4 | in | data_field | opaque | Base_Types::Integer_16
MCU1_Data_Input.data_5 | in | data_field | opaque | Base_Types::Integer_16
MCU1_Data_Input.data_6 | in | data_field | opaque | Base_Types::Integer_16
MCU1_Data_Input.data_7 | in | data_field | opaque | Base_Types::Integer_16
MCU1_Send_Output | out | data | opaque | Papa_Types::Inter_mcu_msg.Generic
MCU1_Send_Output.channels | out | data_field | opaque | Tableau.Generic
MCU1_Send_Output.ppm_cpt | out | data_field | opaque | Base_Types::Integer_8
MCU1_Send_Output.satus | out | data_field | opaque | Base_Types::Integer_8
MCU1_Send_Output.nb_err | out | data_field | opaque | Base_Types::Integer_8
MCU1_Send_Output.vsupply | out | data_field | opaque | Base_Types::Integer_8
Radio_Ok_Input | in | data | bool | Base_Types::Boolean
Radio_Really_Lost_Input | in | data | bool | Base_Types::Boolean
