Exact expression symbols: nearestIntruderAltitude, nearestIntruderGroundDistance, nearestIntruderLongitude, ownAltitude_in, ownHeading, ownVerticalVelocity, ownLatitude, ownLongitude, requiredVerticalVelocity, timeToRecovery, timeToFailure
Use only these exact names as expression operands; do not prefix them with component, implementation, package, property, or metadata names.

name | direction | kind | scalar | aadl_type
nearestIntruderAltitude | in | data | opaque | int
nearestIntruderGroundDistance | in | data | opaque | int
nearestIntruderLongitude | in | data | opaque | int
ownAltitude_in | in | data | opaque | int
ownHeading | in | data | opaque | int
ownVerticalVelocity | in | data | opaque | int
ownLatitude | in | data | opaque | int
ownLongitude | in | data | opaque | int
requiredVerticalVelocity | out | data | opaque | int
timeToRecovery | out | data | opaque | real
timeToFailure | out | data | opaque | real
