Exact expression symbols: Panel, Panel.MAX, Panel.MED, Panel.LO, CH1, CH1.Error, CH1.Active, CH1.Cmd, CH2, CH2.Error, CH2.Active, CH2.Cmd, Pedal, FailCOM1, FailMON1, FailCOM2, FailMON2
Use only these exact names as expression operands; do not prefix them with component, implementation, package, property, or metadata names.

name | direction | kind | scalar | aadl_type
Panel | in | data | opaque | PanelMsg.PanelMsgImpl
Panel.MAX | in | data_field | bool | Base_Types::Boolean
Panel.MED | in | data_field | bool | Base_Types::Boolean
Panel.LO | in | data_field | bool | Base_Types::Boolean
CH1 | out | data | opaque | ChannelStatus.ChannelStatusImpl
CH1.Error | out | data_field | bool | Base_Types::Boolean
CH1.Active | out | data_field | bool | Base_Types::Boolean
CH1.Cmd | out | data_field | int | Base_Types::Integer
CH2 | out | data | opaque | ChannelStatus.ChannelStatusImpl
CH2.Error | out | data_field | bool | Base_Types::Boolean
CH2.Active | out | data_field | bool | Base_Types::Boolean
CH2.Cmd | out | data_field | int | Base_Types::Integer
Pedal | in | data | int | Base_Types::Integer
FailCOM1 | in | data | bool | Base_Types::Boolean
FailMON1 | in | data | bool | Base_Types::Boolean
FailCOM2 | in | data | bool | Base_Types::Boolean
FailMON2 | in | data | bool | Base_Types::Boolean
