Exact expression symbols: acc1_input, acc2_input, acc3_input, acc4_input, acc5_input, acc6_input, v_acc1_dataout, v_acc2_dataout, v_acc3_dataout, v_acc4_dataout, v_acc5_dataout, v_acc6_dataout, acc_error_out, acc_error_action, event2acc1, event2acc2, event2acc3, event2acc4, event2acc5, event2acc6
Use only these exact names as expression operands; do not prefix them with component, implementation, package, property, or metadata names.

name | direction | kind | scalar | aadl_type
acc1_input | in | data | int | SHM_DataType::accData
acc2_input | in | data | int | SHM_DataType::accData
acc3_input | in | data | int | SHM_DataType::accData
acc4_input | in | data | int | SHM_DataType::accData
acc5_input | in | data | int | SHM_DataType::accData
acc6_input | in | data | int | SHM_DataType::accData
v_acc1_dataout | out | data | int | SHM_DataType::accData
v_acc2_dataout | out | data | int | SHM_DataType::accData
v_acc3_dataout | out | data | int | SHM_DataType::accData
v_acc4_dataout | out | data | int | SHM_DataType::accData
v_acc5_dataout | out | data | int | SHM_DataType::accData
v_acc6_dataout | out | data | int | SHM_DataType::accData
acc_error_out | out | data | int | SHM_DataType::errorData
acc_error_action | in | data | int | SHM_DataType::actionData
event2acc1 | out | data | int | SHM_DataType::actionData
event2acc2 | out | data | int | SHM_DataType::actionData
event2acc3 | out | data | int | SHM_DataType::actionData
event2acc4 | out | data | int | SHM_DataType::actionData
event2acc5 | out | data | int | SHM_DataType::actionData
event2acc6 | out | data | int | SHM_DataType::actionData
